#node1	node2	combined_score
Cyclin-dependent kinase inhibitor 1	Signal transducer and activator of transcription 5B	0.764
Cyclin-dependent kinase inhibitor 1	Mitogen-activated protein kinase kinase kinase 5	0.926
Cyclin-dependent kinase inhibitor 1	Histone deacetylase 1	0.775
Cyclin-dependent kinase inhibitor 1	Proliferating cell nuclear antigen	0.999
Cyclin-dependent kinase inhibitor 1	RAC-gamma serine/threonine-protein kinase	0.9
Cyclin-dependent kinase inhibitor 1	RAC-alpha serine/threonine-protein kinase	0.976
Cystic fibrosis transmembrane conductance regulator	cGMP-dependent protein kinase 2	0.905
Cystic fibrosis transmembrane conductance regulator	Phosphatidylinositol 4-kinase beta	0.895
"Cytochrome P450 11B1, mitochondrial"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	0.905
Cytochrome P450 1A2	Steryl-sulfatase	0.9
Cytochrome P450 1A2	Retinal dehydrogenase 2	0.91
Cytochrome P450 1A2	Cytochrome P450 2C9	0.908
Cytochrome P450 1A2	Hematopoietic prostaglandin D synthase	0.9
Cytochrome P450 1A2	Cytochrome P450 2A6	0.911
Cytochrome P450 1A2	Cytochrome P450 26C1	0.9
Cytochrome P450 1A2	"Steroid 17-alpha-hydroxylase/17,20 lyase"	0.9
Cytochrome P450 1A2	"Indoleamine 2,3-dioxygenase 1"	0.9
Cytochrome P450 1A2	Cytochrome P450 2C8	0.908
Cytochrome P450 1A2	Xanthine dehydrogenase/oxidase	0.91
Cytochrome P450 1A2	Cytochrome P450 2C19	0.908
Cytochrome P450 1A2	Glutathione S-transferase P	0.9
Cytochrome P450 1A2	Cytochrome P450 3A4	0.912
Cytochrome P450 26C1	Retinal dehydrogenase 2	0.91
Cytochrome P450 26C1	Cytochrome P450 2C9	0.9
Cytochrome P450 26C1	Cytochrome P450 2A6	0.9
Cytochrome P450 26C1	Cytochrome P450 2C8	0.9
Cytochrome P450 26C1	Cytochrome P450 3A4	0.906
Cytochrome P450 2A6	Retinal dehydrogenase 2	0.91
Cytochrome P450 2A6	Cytochrome P450 2C9	0.909
Cytochrome P450 2A6	Hematopoietic prostaglandin D synthase	0.9
Cytochrome P450 2A6	Xanthine dehydrogenase/oxidase	0.906
Cytochrome P450 2A6	Glutathione S-transferase P	0.9
Cytochrome P450 2A6	Dihydropyrimidine dehydrogenase [NADP(+)]	0.9
Cytochrome P450 2A6	UDP-glucuronosyltransferase 1A1	0.907
Cytochrome P450 2A6	Cytochrome P450 3A4	0.91
Cytochrome P450 2C19	Cytochrome P450 2C9	0.964
Cytochrome P450 2C19	Monoamine oxidase	0.9
Cytochrome P450 2C19	Prostaglandin G/H synthase 1	0.9
Cytochrome P450 2C19	Prostaglandin G/H synthase 2	0.9
Cytochrome P450 2C19	Cytochrome P450 2C8	0.9
Cytochrome P450 2C19	Cytochrome P450 3A4	0.909
Cytochrome P450 2C8	Retinal dehydrogenase 2	0.91
Cytochrome P450 2C8	Cytochrome P450 2C9	0.9
Cytochrome P450 2C8	Prostaglandin G/H synthase 1	0.9
Cytochrome P450 2C8	Prostaglandin G/H synthase 2	0.9
Cytochrome P450 2C8	Cytochrome P450 3A4	0.909
Cytochrome P450 2C9	Retinal dehydrogenase 2	0.91
Cytochrome P450 2C9	Prostaglandin G/H synthase 2	0.9
Cytochrome P450 2C9	Prostaglandin G/H synthase 1	0.9
Cytochrome P450 2C9	Hematopoietic prostaglandin D synthase	0.9
Cytochrome P450 2C9	Glutathione S-transferase P	0.9
Cytochrome P450 2C9	Cytochrome P450 3A4	0.933
Cytochrome P450 3A4	Steryl-sulfatase	0.9
Cytochrome P450 3A4	Retinal dehydrogenase 2	0.91
Cytochrome P450 3A4	Hematopoietic prostaglandin D synthase	0.9
Cytochrome P450 3A4	UDP-glucuronosyltransferase 1A1	0.931
Cytochrome P450 3A4	Monoamine oxidase	0.9
Cytochrome P450 3A4	Liver carboxylesterase 1	0.9
Cytochrome P450 3A4	"Steroid 17-alpha-hydroxylase/17,20 lyase"	0.909
Cytochrome P450 3A4	Glutathione S-transferase P	0.9
Cytokine receptor common subunit beta	Interleukin-3	0.995
Cytokine receptor common subunit beta	GTPase NRas	0.9
Cytokine receptor common subunit beta	Tyrosine-protein kinase JAK2	0.977
Cytokine receptor common subunit beta	Tyrosine-protein kinase JAK1	0.864
Cytokine receptor common subunit gamma	Signal transducer and activator of transcription 3	0.9
Cytokine receptor common subunit gamma	Signal transducer and activator of transcription 5B	0.9
Cytokine receptor common subunit gamma	Tyrosine-protein kinase JAK2	0.852
Cytokine receptor common subunit gamma	Tyrosine-protein kinase JAK3	0.96
Cytokine receptor common subunit gamma	Tyrosine-protein kinase JAK1	0.926
Cytoplasmic tyrosine-protein kinase BMX	Signal transducer and activator of transcription 3	0.838
Cytosolic phospholipase A2	Mitogen-activated protein kinase 1	0.9
Cytosolic phospholipase A2	Mitogen-activated protein kinase 3	0.9
D(1) dopamine receptor	D(1A) dopamine receptor	0.8
D(1) dopamine receptor	Pro-opiomelanocortin	0.905
D(1A) dopamine receptor	Neuron-specific vesicular protein calcyon	0.9
D(1A) dopamine receptor	Pro-opiomelanocortin	0.905
D(2) dopamine receptor	Sodium-dependent dopamine transporter	0.935
D(3) dopamine receptor	D(4) dopamine receptor	0.9
DNA (cytosine-5)-methyltransferase 1	DNA (cytosine-5)-methyltransferase 3A	0.961
DNA (cytosine-5)-methyltransferase 1	DNA (cytosine-5)-methyltransferase 3B	0.983
DNA (cytosine-5)-methyltransferase 1	Proliferating cell nuclear antigen	0.986
DNA (cytosine-5)-methyltransferase 1	Histone deacetylase 2	0.946
DNA (cytosine-5)-methyltransferase 1	Histone deacetylase 1	0.976
DNA (cytosine-5)-methyltransferase 3A	DNA (cytosine-5)-methyltransferase 3B	0.987
DNA (cytosine-5)-methyltransferase 3B	Histone deacetylase 2	0.899
DNA (cytosine-5)-methyltransferase 3B	Histone deacetylase 1	0.945
DNA ligase 1	DNA polymerase beta	0.905
DNA ligase 1	Proliferating cell nuclear antigen	0.998
DNA polymerase	DNA polymerase epsilon subunit 2	0.999
DNA polymerase	DNA polymerase alpha subunit B	0.973
DNA polymerase	DNA polymerase delta subunit 4	0.754
DNA polymerase	DNA polymerase subunit gamma-2	0.9
DNA polymerase	DNA polymerase subunit gamma-1	0.902
DNA polymerase	Proliferating cell nuclear antigen	0.977
DNA polymerase	DNA primase small subunit	0.958
DNA polymerase	DNA polymerase catalytic subunit	0.951
DNA polymerase	DNA polymerase epsilon subunit 3	0.998
DNA polymerase	DNA polymerase delta catalytic subunit	0.969
DNA polymerase	DNA polymerase epsilon subunit 4	0.996
DNA polymerase alpha subunit B	DNA polymerase epsilon subunit 2	0.9
DNA polymerase alpha subunit B	DNA polymerase subunit gamma-2	0.9
DNA polymerase alpha subunit B	DNA polymerase subunit gamma-1	0.9
DNA polymerase alpha subunit B	Proliferating cell nuclear antigen	0.72
DNA polymerase alpha subunit B	DNA polymerase epsilon subunit 4	0.9
DNA polymerase alpha subunit B	DNA polymerase epsilon subunit 3	0.9
DNA polymerase alpha subunit B	DNA polymerase delta catalytic subunit	0.973
DNA polymerase alpha subunit B	DNA polymerase catalytic subunit	0.999
DNA polymerase alpha subunit B	DNA primase small subunit	0.999
DNA polymerase beta	Poly [ADP-ribose] polymerase 2	0.798
DNA polymerase beta	Proliferating cell nuclear antigen	0.751
DNA polymerase beta	Poly [ADP-ribose] polymerase 1	0.897
DNA polymerase catalytic subunit	DNA polymerase epsilon subunit 2	0.949
DNA polymerase catalytic subunit	DNA primase small subunit	0.999
DNA polymerase catalytic subunit	DNA polymerase epsilon subunit 3	0.947
DNA polymerase catalytic subunit	DNA polymerase subunit gamma-2	0.9
DNA polymerase catalytic subunit	DNA polymerase subunit gamma-1	0.902
DNA polymerase catalytic subunit	DNA polymerase epsilon subunit 4	0.961
DNA polymerase catalytic subunit	Proliferating cell nuclear antigen	0.954
DNA polymerase catalytic subunit	DNA polymerase delta catalytic subunit	0.914
DNA polymerase delta catalytic subunit	DNA polymerase epsilon subunit 2	0.949
DNA polymerase delta catalytic subunit	Serine-protein kinase ATM	0.9
DNA polymerase delta catalytic subunit	DNA polymerase delta subunit 4	0.988
DNA polymerase delta catalytic subunit	DNA-dependent protein kinase catalytic subunit	0.912
DNA polymerase delta catalytic subunit	DNA primase small subunit	0.948
DNA polymerase delta catalytic subunit	DNA polymerase epsilon subunit 3	0.947
DNA polymerase delta catalytic subunit	Proliferating cell nuclear antigen	0.998
DNA polymerase delta catalytic subunit	DNA polymerase subunit gamma-1	0.902
DNA polymerase delta catalytic subunit	DNA polymerase epsilon subunit 4	0.929
DNA polymerase delta catalytic subunit	DNA polymerase subunit gamma-2	0.9
DNA polymerase delta catalytic subunit	DNA repair protein RAD51 homolog 1	0.763
DNA polymerase delta subunit 4	Proliferating cell nuclear antigen	0.99
DNA polymerase epsilon subunit 2	DNA polymerase subunit gamma-2	0.9
DNA polymerase epsilon subunit 2	DNA polymerase subunit gamma-1	0.9
DNA polymerase epsilon subunit 2	DNA primase small subunit	0.9
DNA polymerase epsilon subunit 2	DNA polymerase epsilon subunit 3	0.997
DNA polymerase epsilon subunit 2	DNA polymerase epsilon subunit 4	0.994
DNA polymerase epsilon subunit 3	DNA primase small subunit	0.9
DNA polymerase epsilon subunit 3	DNA polymerase subunit gamma-1	0.9
DNA polymerase epsilon subunit 3	DNA polymerase subunit gamma-2	0.9
DNA polymerase epsilon subunit 3	DNA polymerase epsilon subunit 4	0.998
DNA polymerase epsilon subunit 4	DNA primase small subunit	0.9
DNA polymerase epsilon subunit 4	DNA polymerase subunit gamma-1	0.9
DNA polymerase epsilon subunit 4	DNA polymerase subunit gamma-2	0.9
DNA polymerase nu	Proliferating cell nuclear antigen	0.735
DNA polymerase subunit gamma-1	DNA primase small subunit	0.9
DNA polymerase subunit gamma-1	DNA polymerase subunit gamma-2	0.998
DNA polymerase subunit gamma-2	DNA primase small subunit	0.9
DNA primase small subunit	Proliferating cell nuclear antigen	0.72
DNA repair protein RAD51 homolog 1	Serine-protein kinase ATM	0.892
DNA repair protein RAD51 homolog 1	Serine/threonine-protein kinase ATR	0.725
DNA repair protein RAD51 homolog 1	Proliferating cell nuclear antigen	0.801
DNA repair protein RAD51 homolog 1	Serine/threonine-protein kinase Chk1	0.883
DNA topoisomerase 1	DNA topoisomerase 2	0.842
DNA topoisomerase 1	DNA topoisomerase 2-alpha	0.857
DNA topoisomerase 2	DNA topoisomerase 2-alpha	0.957
DNA-dependent protein kinase catalytic subunit	Target of rapamycin complex 2 subunit MAPKAP1	0.835
DNA-dependent protein kinase catalytic subunit	Serine-protein kinase ATM	0.938
Death-associated protein kinase 1	Mitogen-activated protein kinase 1	0.935
Death-associated protein kinase 1	Mitogen-activated protein kinase 3	0.963
Death-associated protein kinase 1	Death-associated protein kinase 2	0.9
Death-associated protein kinase 1	Death-associated protein kinase 3	0.9
Death-associated protein kinase 2	Mitogen-activated protein kinase 1	0.913
Death-associated protein kinase 2	Mitogen-activated protein kinase 3	0.913
Death-associated protein kinase 2	Death-associated protein kinase 3	0.9
Death-associated protein kinase 3	Mitogen-activated protein kinase 1	0.913
Death-associated protein kinase 3	Mitogen-activated protein kinase 3	0.913
Delta-aminolevulinic acid dehydratase	Fatty acid synthase	0.808
Delta-type opioid receptor	Pro-opiomelanocortin	0.905
Delta-type opioid receptor	Mu-type opioid receptor	0.949
Deoxycytidine kinase	"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A"	0.9
Deoxycytidine kinase	"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"	0.9
Deoxycytidine kinase	Purine nucleoside phosphorylase	0.9
Dihydrofolate reductase	Thymidylate synthase	0.978
Dihydrofolate reductase	Tyrosine 3-monooxygenase	0.9
Dihydrofolate reductase	Trifunctional purine biosynthetic protein adenosine-3	0.9
Dihydrofolate reductase	"Folylpolyglutamate synthase, mitochondrial"	0.978
Dihydropyrimidinase-related protein 2	Glycogen synthase kinase-3 beta	0.928
Dihydropyrimidinase-related protein 2	Tyrosine-protein kinase Fes/Fps	0.9
Dihydropyrimidine dehydrogenase [NADP(+)]	Purine nucleoside phosphorylase	0.911
Disintegrin and metalloproteinase domain-containing protein 17	Mitogen-activated protein kinase 14	0.75
Disintegrin and metalloproteinase domain-containing protein 17	Serine/threonine-protein kinase PLK2	0.75
Disintegrin and metalloproteinase domain-containing protein 17	Tumor necrosis factor	0.75
Dopamine beta-hydroxylase	Monoamine oxidase	0.9
"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A"	Retinal guanylyl cyclase 1	0.711
"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A"	Guanylate cyclase soluble subunit alpha-2	0.711
"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A"	Guanylate cyclase soluble subunit beta-1	0.716
Dual specificity mitogen-activated protein kinase kinase 1	Mitogen-activated protein kinase 13	0.929
Dual specificity mitogen-activated protein kinase kinase 1	Mitogen-activated protein kinase 1	0.992
Dual specificity mitogen-activated protein kinase kinase 1	Mitogen-activated protein kinase 14	0.929
Dual specificity mitogen-activated protein kinase kinase 1	Dual specificity mitogen-activated protein kinase kinase 2	0.982
Dual specificity mitogen-activated protein kinase kinase 1	Mitogen-activated protein kinase 3	0.987
Dual specificity mitogen-activated protein kinase kinase 1	Serine/threonine-protein kinase PAK 1	0.905
Dual specificity mitogen-activated protein kinase kinase 1	Mitogen-activated protein kinase kinase kinase kinase 4	0.75
Dual specificity mitogen-activated protein kinase kinase 1	Serine/threonine-protein kinase PAK 5	0.905
Dual specificity mitogen-activated protein kinase kinase 1	Serine/threonine-protein kinase PAK 3	0.905
Dual specificity mitogen-activated protein kinase kinase 1	Serine/threonine-protein kinase PAK 6	0.905
Dual specificity mitogen-activated protein kinase kinase 1	Protein kinase C delta type	0.909
Dual specificity mitogen-activated protein kinase kinase 1	cAMP-dependent protein kinase catalytic subunit beta	0.905
Dual specificity mitogen-activated protein kinase kinase 1	Serine/threonine-protein kinase PAK 2	0.905
Dual specificity mitogen-activated protein kinase kinase 1	Serine/threonine-protein kinase PAK 4	0.905
Dual specificity mitogen-activated protein kinase kinase 1	Mitogen-activated protein kinase 9	0.9
Dual specificity mitogen-activated protein kinase kinase 1	Mitogen-activated protein kinase 8	0.9
Dual specificity mitogen-activated protein kinase kinase 1	Glycogen synthase kinase-3 beta	0.912
Dual specificity mitogen-activated protein kinase kinase 1	Mitogen-activated protein kinase 11	0.929
Dual specificity mitogen-activated protein kinase kinase 1	GTPase NRas	0.912
Dual specificity mitogen-activated protein kinase kinase 1	Mitogen-activated protein kinase kinase kinase kinase 1	0.974
Dual specificity mitogen-activated protein kinase kinase 1	Serine/threonine-protein kinase B-raf	0.999
Dual specificity mitogen-activated protein kinase kinase 2	Mitogen-activated protein kinase 13	0.929
Dual specificity mitogen-activated protein kinase kinase 2	Mitogen-activated protein kinase 1	0.998
Dual specificity mitogen-activated protein kinase kinase 2	Mitogen-activated protein kinase 14	0.929
Dual specificity mitogen-activated protein kinase kinase 2	cAMP-dependent protein kinase catalytic subunit beta	0.905
Dual specificity mitogen-activated protein kinase kinase 2	Serine/threonine-protein kinase PAK 1	0.905
Dual specificity mitogen-activated protein kinase kinase 2	Mitogen-activated protein kinase 8	0.9
Dual specificity mitogen-activated protein kinase kinase 2	Mitogen-activated protein kinase 9	0.9
Dual specificity mitogen-activated protein kinase kinase 2	Protein kinase C delta type	0.909
Dual specificity mitogen-activated protein kinase kinase 2	Glycogen synthase kinase-3 beta	0.912
Dual specificity mitogen-activated protein kinase kinase 2	Mitogen-activated protein kinase 11	0.929
Dual specificity mitogen-activated protein kinase kinase 2	GTPase NRas	0.912
Dual specificity mitogen-activated protein kinase kinase 2	Mitogen-activated protein kinase kinase kinase kinase 1	0.934
Dual specificity mitogen-activated protein kinase kinase 2	Mitogen-activated protein kinase 3	0.972
Dual specificity mitogen-activated protein kinase kinase 2	Serine/threonine-protein kinase B-raf	0.99
Dual specificity mitogen-activated protein kinase kinase 5	Mitogen-activated protein kinase kinase kinase 2	0.998
Dual specificity mitogen-activated protein kinase kinase 5	Mitogen-activated protein kinase kinase kinase 3	0.998
Dual specificity mitogen-activated protein kinase kinase 5	Mitogen-activated protein kinase 7	0.998
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase 13	0.949
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase 1	0.958
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase 14	0.994
Dual specificity mitogen-activated protein kinase kinase 6	Serine/threonine-protein kinase TAO1	0.9
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase 3	0.943
Dual specificity mitogen-activated protein kinase kinase 6	Serine/threonine-protein kinase TAO2	0.966
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase 11	0.96
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase kinase kinase kinase 3	0.982
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase kinase kinase 6	0.903
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase kinase kinase 5	0.983
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase kinase kinase 3	0.9
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase kinase kinase 4	0.982
Dual specificity mitogen-activated protein kinase kinase 6	Serine/threonine-protein kinase TAO3	0.9
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase 8	0.903
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase kinase kinase kinase 1	0.9
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase kinase kinase 2	0.9
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase 9	0.903
Dual specificity mitogen-activated protein kinase kinase 6	Mitogen-activated protein kinase kinase kinase kinase 4	0.926
Dual specificity protein kinase CLK1	Dual specificity protein kinase CLK4	0.9
Dual specificity protein kinase CLK1	Dual specificity protein kinase CLK2	0.779
Dual specificity protein kinase CLK2	Dual specificity protein kinase CLK3	0.836
Dual specificity tyrosine-phosphorylation-regulated kinase 1A	Protein farnesyltransferase subunit beta	0.742
Dual specificity tyrosine-phosphorylation-regulated kinase 1A	cAMP-dependent protein kinase catalytic subunit beta	0.707
E3 ubiquitin-protein ligase Mdm2	Estrogen receptor	0.785
E3 ubiquitin-protein ligase Mdm2	Histone deacetylase 1	0.737
E3 ubiquitin-protein ligase Mdm2	RAC-gamma serine/threonine-protein kinase	0.9
E3 ubiquitin-protein ligase Mdm2	Insulin-like growth factor 1 receptor	0.928
E3 ubiquitin-protein ligase Mdm2	Serine/threonine-protein kinase Chk2	0.902
E3 ubiquitin-protein ligase Mdm2	Hypoxia-inducible factor 1-alpha	0.839
E3 ubiquitin-protein ligase Mdm2	Serine-protein kinase ATM	0.901
E3 ubiquitin-protein ligase Mdm2	RAC-alpha serine/threonine-protein kinase	0.988
E3 ubiquitin-protein ligase XIAP	Serine/threonine-protein kinase TBK1	0.772
E3 ubiquitin-protein ligase XIAP	RAC-alpha serine/threonine-protein kinase	0.786
Egl nine homolog 1	Protein kinase C gamma type	0.9
Egl nine homolog 1	Endothelial PAS domain-containing protein 1	0.988
Egl nine homolog 1	Prostaglandin E synthase 3	0.74
Egl nine homolog 1	Protein kinase C beta type	0.9
Egl nine homolog 1	Protein kinase C alpha type	0.9
Egl nine homolog 1	Hypoxia-inducible factor 1-alpha	0.996
Endoplasmic reticulum chaperone BiP	Superoxide dismutase [Cu-Zn]	0.92
Endoplasmic reticulum chaperone BiP	Major prion protein	0.932
Endoplasmic reticulum chaperone BiP	Heat shock cognate 71 kDa protein	0.872
Endothelial PAS domain-containing protein 1	Protein-tyrosine kinase 6	0.804
Endothelial PAS domain-containing protein 1	Hypoxia-inducible factor 1-alpha	0.93
Endothelin receptor type B	Prothrombin	0.901
Endothelin receptor type B	Endothelin-1 receptor	0.9
Endothelin-1 receptor	Inward rectifier potassium channel 2	0.9
Endothelin-1 receptor	Prothrombin	0.901
Ephrin type-A receptor 1	Tyrosine-protein kinase ABL1	0.9
Ephrin type-A receptor 1	Ephrin type-A receptor 2	0.886
Ephrin type-A receptor 2	Hepatocyte growth factor	0.714
Ephrin type-A receptor 2	Ephrin type-A receptor 7	0.757
Ephrin type-A receptor 2	Ephrin type-B receptor 2	0.732
Ephrin type-A receptor 2	Ephrin type-A receptor 6	0.761
Ephrin type-A receptor 2	Tyrosine-protein kinase ABL1	0.9
Ephrin type-A receptor 3	Ephrin type-A receptor 7	0.841
Ephrin type-A receptor 3	Tyrosine-protein kinase ABL1	0.926
Ephrin type-A receptor 4	Tyrosine-protein kinase ABL1	0.9
Ephrin type-A receptor 5	Tyrosine-protein kinase ABL1	0.9
Ephrin type-A receptor 6	Tyrosine-protein kinase ABL1	0.9
Ephrin type-A receptor 7	Tyrosine-protein kinase ABL1	0.9
Ephrin type-A receptor 8	Tyrosine-protein kinase ABL1	0.9
Ephrin type-B receptor 1	Tyrosine-protein kinase ABL1	0.9
Ephrin type-B receptor 2	Tyrosine-protein kinase ABL1	0.926
Ephrin type-B receptor 2	Proto-oncogene tyrosine-protein kinase Src	0.773
Ephrin type-B receptor 4	Tyrosine-protein kinase ABL1	0.9
Ephrin type-B receptor 6	Tyrosine-protein kinase ABL1	0.9
Epidermal growth factor receptor	Tyrosine-protein kinase CSK	0.914
Epidermal growth factor receptor	Platelet-derived growth factor receptor alpha	0.964
Epidermal growth factor receptor	Tyrosine-protein kinase Blk	0.77
Epidermal growth factor receptor	Toll-like receptor 2	0.733
Epidermal growth factor receptor	Platelet-derived growth factor receptor beta	0.953
Epidermal growth factor receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"	0.978
Epidermal growth factor receptor	Signal transducer and activator of transcription 3	0.925
Epidermal growth factor receptor	Tyrosine-protein kinase ZAP-70	0.763
Epidermal growth factor receptor	Pro-epidermal growth factor	0.999
Epidermal growth factor receptor	Receptor tyrosine-protein kinase erbB-3	0.997
Epidermal growth factor receptor	Receptor tyrosine-protein kinase erbB-2	0.999
Epidermal growth factor receptor	Serine/threonine-protein kinase PAK 1	0.718
Epidermal growth factor receptor	Tyrosine-protein kinase ABL2	0.709
Epidermal growth factor receptor	Tyrosine-protein kinase HCK	0.759
Epidermal growth factor receptor	Tubulin alpha-1A chain	0.785
Epidermal growth factor receptor	Tyrosine-protein kinase Lyn	0.83
Epidermal growth factor receptor	Tyrosine-protein kinase ABL1	0.79
Epidermal growth factor receptor	Tyrosine-protein kinase Yes	0.776
Epidermal growth factor receptor	Histone deacetylase 6	0.781
Epidermal growth factor receptor	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	0.838
Epidermal growth factor receptor	Heat shock cognate 71 kDa protein	0.832
Epidermal growth factor receptor	Protein kinase C alpha type	0.788
Epidermal growth factor receptor	Platelet-derived growth factor D	0.9
Epidermal growth factor receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	0.9
Epidermal growth factor receptor	Tyrosine-protein kinase JAK3	0.912
Epidermal growth factor receptor	Tyrosine-protein kinase JAK1	0.939
Epidermal growth factor receptor	Tyrosine-protein kinase JAK2	0.971
Epidermal growth factor receptor	Protein-tyrosine kinase 6	0.804
Epidermal growth factor receptor	GTPase NRas	0.921
Epidermal growth factor receptor	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	0.96
Epidermal growth factor receptor	Receptor tyrosine-protein kinase erbB-4	0.866
Epidermal growth factor receptor	Hepatocyte growth factor receptor	0.806
Epidermal growth factor receptor	Signal transducer and activator of transcription 5B	0.977
Epidermal growth factor receptor	Phosphatidylinositol 3-kinase regulatory subunit alpha	0.989
Epidermal growth factor receptor	Heat shock protein HSP 90-alpha	0.924
Epidermal growth factor receptor	Proto-oncogene tyrosine-protein kinase Src	0.992
Epidermal growth factor receptor	Focal adhesion kinase 1	0.999
Estrogen receptor	Mitogen-activated protein kinase 13	0.9
Estrogen receptor	Mitogen-activated protein kinase 1	0.96
Estrogen receptor	G1/S-specific cyclin-D1	0.902
Estrogen receptor	Mitogen-activated protein kinase 14	0.9
Estrogen receptor	Mitogen-activated protein kinase 3	0.9
Estrogen receptor	Trefoil factor 1	0.898
Estrogen receptor	Peroxisome proliferator-activated receptor gamma coactivator 1-beta	0.725
Estrogen receptor	Progesterone receptor	0.928
Estrogen receptor	Transcription factor Sp1	0.988
Estrogen receptor	Mitogen-activated protein kinase 11	0.9
Estrogen receptor	Heat shock protein HSP 90-alpha	0.942
Estrogen receptor	Receptor tyrosine-protein kinase erbB-4	0.86
Estrogen receptor	Estrogen receptor beta	0.982
Estrogen receptor	cAMP-dependent protein kinase catalytic subunit beta	0.9
Estrogen receptor	Histone deacetylase 1	0.912
Estrogen receptor	Proto-oncogene tyrosine-protein kinase Src	0.992
Estrogen receptor	Mitogen-activated protein kinase 8	0.9
Estrogen receptor	Transcription factor p65	0.787
Estrogen receptor	Steroid hormone receptor ERR1	0.748
Estrogen receptor	Nuclear receptor coactivator 1	0.999
Estrogen receptor	Mitogen-activated protein kinase 9	0.9
Estrogen receptor	Nuclear receptor coactivator 2	0.998
Estrogen receptor	Heat shock cognate 71 kDa protein	0.799
Estrogen receptor	Prostaglandin E synthase 3	0.917
Estrogen receptor	Myc proto-oncogene protein	0.802
Estrogen receptor	Prohibitin-2	0.836
Estrogen receptor	Phosphatidylinositol 3-kinase regulatory subunit alpha	0.817
Estrogen receptor	Insulin-like growth factor 1 receptor	0.866
Estrogen receptor beta	Mitogen-activated protein kinase 13	0.9
Estrogen receptor beta	Mitogen-activated protein kinase 1	0.926
Estrogen receptor beta	Mitogen-activated protein kinase 14	0.9
Estrogen receptor beta	Mitogen-activated protein kinase 3	0.9
Estrogen receptor beta	Transcription factor Sp1	0.95
Estrogen receptor beta	Mitogen-activated protein kinase 11	0.9
Estrogen receptor beta	Voltage-dependent T-type calcium channel subunit alpha-1H	0.9
Estrogen receptor beta	Prostaglandin E synthase 3	0.8
Estrogen receptor beta	Voltage-dependent T-type calcium channel subunit alpha-1I	0.9
Estrogen receptor beta	Mitogen-activated protein kinase 9	0.9
Estrogen receptor beta	Voltage-dependent T-type calcium channel subunit alpha-1G	0.9
Estrogen receptor beta	Mitogen-activated protein kinase 8	0.9
Estrogen receptor beta	cAMP-dependent protein kinase catalytic subunit beta	0.9
Estrogen receptor beta	Nuclear receptor coactivator 2	0.953
Estrogen receptor beta	Proto-oncogene tyrosine-protein kinase Src	0.961
Estrogen receptor beta	Nuclear receptor coactivator 1	0.996
Estrogen-related receptor gamma	Nuclear receptor subfamily 0 group B member 1	0.708
Estrogen-related receptor gamma	Nuclear receptor coactivator 1	0.836
Estrogen-related receptor gamma	Steroid hormone receptor ERR1	0.84
Eukaryotic translation initiation factor 2-alpha kinase 1	Inhibitor of nuclear factor kappa-B kinase subunit alpha	0.9
Eukaryotic translation initiation factor 2-alpha kinase 1	Inhibitor of nuclear factor kappa-B kinase subunit beta	0.9
Eukaryotic translation initiation factor 2-alpha kinase 1	Nuclear factor erythroid 2-related factor 2	0.9
Exportin-1	Serine/threonine-protein kinase PLK1	0.8
Exportin-1	cAMP-dependent protein kinase catalytic subunit alpha	0.952
Exportin-1	Mitogen-activated protein kinase 4	0.762
Fibroblast growth factor 1	Fibroblast growth factor receptor 4	0.968
Fibroblast growth factor 1	Fibroblast growth factor receptor 3	0.973
Fibroblast growth factor 1	Protein S100-A13	0.948
Fibroblast growth factor 1	Fibroblast growth factor receptor 1	0.997
Fibroblast growth factor 1	Fibroblast growth factor receptor 2	0.999
