Drug1,Drug2,Cell_line,classification
Dexrazoxane,Thalidomide,LOXIMVI_SKIN,antagonism
Tioguanine,Paclitaxel,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Sorafenib,A498_KIDNEY,antagonism
Pemetrexed,Etoposide,MCF7_BREAST,antagonism
Vemurafenib,Imatinib,SKMEL5_SKIN,antagonism
Paclitaxel,5-Azacitidine,SW620_LARGE_INTESTINE,antagonism
Methotrexate,Dasatinib,HT29_LARGE_INTESTINE,antagonism
Methotrexate,Methoxsalen,SKMEL28_SKIN,antagonism
Abiraterone,Dexrazoxane,MCF7_BREAST,antagonism
Chlorambucil,Tioguanine,HCT116_LARGE_INTESTINE,antagonism
Abiraterone,Pipobroman,NCIH23_LUNG,antagonism
Lomustine,Thalidomide,NCIH522_LUNG,antagonism
Abiraterone,Pipobroman,PC3_PROSTATE,antagonism
Lomustine,Methotrexate,CAKI1_KIDNEY,antagonism
Cabazitaxel,Pipobroman,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Etoposide,Imiquimod,T47D_BREAST,antagonism
Lomustine,Busulfan,NCIH23_LUNG,antagonism
Etoposide,Tioguanine,SKMEL28_SKIN,antagonism
Pemetrexed,Imatinib,OVCAR8_OVARY,antagonism
Paclitaxel,PD-0325901,SW837_LARGE_INTESTINE,antagonism
Vismodegib,Methotrexate,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Imiquimod,Carmustine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Dasatinib,UO31_KIDNEY,antagonism
Chlorambucil,Anastrozole,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Sorafenib,OVCAR8_OVARY,antagonism
Everolimus,Hydroxyurea,A549_LUNG,antagonism
Everolimus,Methoxsalen,EKVX_LUNG,antagonism
Tioguanine,Anastrozole,SKOV3_OVARY,antagonism
Imatinib,5-Azacitidine,MDAMB435S_SKIN,antagonism
Abiraterone,Everolimus,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Teniposide,Tioguanine,EKVX_LUNG,antagonism
Vandetanib,ThioTEPA,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Altretamine,ThioTEPA,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Dexrazoxane,Chlorambucil,DU145_PROSTATE,antagonism
Gefitinib,Hydroxyurea,BT549_BREAST,antagonism
Crizotinib,Tioguanine,MDAMB435S_SKIN,antagonism
Dacarbazine,Carmustine,UO31_KIDNEY,antagonism
Dexrazoxane,ThioTEPA,HCT116_LARGE_INTESTINE,antagonism
Altretamine,Crizotinib,CAKI1_KIDNEY,antagonism
Etoposide,Sorafenib,BT549_BREAST,antagonism
Lenalidomide,Paclitaxel,MALME3M_SKIN,antagonism
Fluorouracil,Dasatinib,T47D_BREAST,antagonism
Dexrazoxane,Lomustine,HCT15_LARGE_INTESTINE,antagonism
Dacarbazine,Fluorouracil,SKMEL5_SKIN,antagonism
ThioTEPA,Carmustine,CAKI1_KIDNEY,antagonism
Abiraterone,Everolimus,HT29_LARGE_INTESTINE,antagonism
Etoposide,Allopurinol,CAKI1_KIDNEY,antagonism
Vandetanib,Ifosfamide,NCIH522_LUNG,antagonism
Cabazitaxel,Chlorambucil,IGROV1_OVARY,antagonism
Everolimus,Sorafenib,ACHN_KIDNEY,antagonism
Pralatrexate,Danusertib,TC71_BONE,antagonism
Lomustine,Letrozole,786O_KIDNEY,antagonism
Abiraterone,Busulfan,SW620_LARGE_INTESTINE,antagonism
Niraparib,PD-0325901,A375_SKIN,antagonism
Dexrazoxane,Fluorouracil,MDAMB435S_SKIN,antagonism
Lomustine,Crizotinib,MDAMB468_BREAST,antagonism
Methotrexate,Methoxsalen,HOP62_LUNG,antagonism
Fluorouracil,Ixabepilone,HS578T_BREAST,antagonism
Dacarbazine,Vemurafenib,CAKI1_KIDNEY,antagonism
Fluorouracil,Decitabine,A498_KIDNEY,antagonism
Cabazitaxel,Fluorouracil,EKVX_LUNG,antagonism
Dexrazoxane,Tioguanine,MDAMB435S_SKIN,antagonism
Teniposide,Crizotinib,EKVX_LUNG,antagonism
Etoposide,Methotrexate,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Abiraterone,Teniposide,NCIH2122_LUNG,antagonism
Methotrexate,ThioTEPA,HS578T_BREAST,antagonism
Crizotinib,Methoxsalen,A549_LUNG,antagonism
Pemetrexed,Vemurafenib,BT549_BREAST,antagonism
Paclitaxel,Mitotane,SKMEL5_SKIN,antagonism
ThioTEPA,Imatinib,NCIH2122_LUNG,antagonism
Paclitaxel,Niraparib,HT144_SKIN,antagonism
Tioguanine,Crizotinib,NCIH226_LUNG,antagonism
Teniposide,Chlorambucil,NCIH23_LUNG,antagonism
Pemetrexed,Dacarbazine,CAKI1_KIDNEY,antagonism
5-Azacitidine,Bortezomib,SW620_LARGE_INTESTINE,antagonism
Gefitinib,Everolimus,NCIH460_LUNG,antagonism
Etoposide,Bortezomib,CAKI1_KIDNEY,antagonism
Gefitinib,Letrozole,HOP92_LUNG,antagonism
Lomustine,Allopurinol,CAKI1_KIDNEY,antagonism
Tioguanine,Anastrozole,HOP92_LUNG,antagonism
Letrozole,Tretinoin,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Lomustine,Everolimus,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Chlorambucil,Ifosfamide,A498_KIDNEY,antagonism
Pemetrexed,Fulvestrant,T47D_BREAST,antagonism
Lomustine,Tretinoin,ACHN_KIDNEY,antagonism
Fluorouracil,Tioguanine,NCIH522_LUNG,antagonism
Fluorouracil,Fulvestrant,HOP92_LUNG,antagonism
Abiraterone,Letrozole,UO31_KIDNEY,antagonism
Dexrazoxane,Paclitaxel,DU145_PROSTATE,antagonism
ThioTEPA,Sorafenib,LOXIMVI_SKIN,antagonism
PD-0325901,Ridaforolimus,MDAMB436_BREAST,antagonism
Fulvestrant,Methotrexate,SKMEL28_SKIN,antagonism
Paclitaxel,Carmustine,CAKI1_KIDNEY,antagonism
Etoposide,ThioTEPA,786O_KIDNEY,antagonism
Dexrazoxane,Ixabepilone,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dexrazoxane,Methotrexate,UACC62_SKIN,antagonism
Methotrexate,Temozolomide,RPMI7951_SKIN,antagonism
Teniposide,Lomustine,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Hydroxyurea,CAKI1_KIDNEY,antagonism
Lomustine,5-Azacitidine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Mitotane,Methotrexate,NCIH2122_LUNG,antagonism
Gefitinib,Vemurafenib,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Letrozole,HT29_LARGE_INTESTINE,antagonism
ThioTEPA,Ifosfamide,NCIH23_LUNG,antagonism
Dexrazoxane,Dacarbazine,MCF7_BREAST,antagonism
Cabazitaxel,Tioguanine,UACC62_SKIN,antagonism
Pemetrexed,Carmustine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Abiraterone,Decitabine,KM12_LARGE_INTESTINE,antagonism
ThioTEPA,Sorafenib,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Bortezomib,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Methoxsalen,MDAMB468_BREAST,antagonism
Temozolomide,PD-0325901,NCIH23_LUNG,antagonism
Pemetrexed,Sorafenib,MCF7_BREAST,antagonism
Gefitinib,Pentostatin,BT549_BREAST,antagonism
Pemetrexed,Lomustine,HT29_LARGE_INTESTINE,antagonism
Gefitinib,Crizotinib,A549_LUNG,antagonism
Vandetanib,5-Azacitidine,UO31_KIDNEY,antagonism
Teniposide,Bortezomib,SW620_LARGE_INTESTINE,antagonism
Dacarbazine,Ifosfamide,LOXIMVI_SKIN,antagonism
Lomustine,Tretinoin,LOXIMVI_SKIN,antagonism
PD-0325901,Dasatinib,ZR751_BREAST,antagonism
Fluorouracil,Tioguanine,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Teniposide,Tioguanine,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Busulfan,HS578T_BREAST,antagonism
ThioTEPA,Paclitaxel,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Methotrexate,BEZ-235,NCIH1650_LUNG,antagonism
Teniposide,Fluorouracil,SKOV3_OVARY,antagonism
Fluorouracil,Pipobroman,IGROV1_OVARY,antagonism
Lomustine,Tioguanine,MDAMB435S_SKIN,antagonism
Vismodegib,Lomustine,IGROV1_OVARY,antagonism
Gefitinib,Bortezomib,SKOV3_OVARY,antagonism
Chlorambucil,Decitabine,T47D_BREAST,antagonism
Etoposide,ThioTEPA,NCIH522_LUNG,antagonism
Letrozole,Ixabepilone,EKVX_LUNG,antagonism
Vismodegib,Pipobroman,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Busulfan,A549_LUNG,antagonism
Crizotinib,Lenalidomide,HCT116_LARGE_INTESTINE,antagonism
Axitinib,Tioguanine,T47D_BREAST,antagonism
Sorafenib,Thalidomide,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dexrazoxane,Everolimus,MDAMB231_BREAST,antagonism
Lomustine,Dacarbazine,UACC62_SKIN,antagonism
Teniposide,Anastrozole,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Fluorouracil,Everolimus,SKMEL28_SKIN,antagonism
Cabazitaxel,Fluorouracil,NCIH2122_LUNG,antagonism
Vismodegib,Vemurafenib,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Tioguanine,Busulfan,OVCAR8_OVARY,antagonism
Axitinib,Sorafenib,MDAMB468_BREAST,antagonism
Everolimus,Mitotane,SKMEL5_SKIN,antagonism
Pemetrexed,Paclitaxel,IGROV1_OVARY,antagonism
Vandetanib,Bortezomib,SKOV3_OVARY,antagonism
Tioguanine,Dasatinib,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Vismodegib,ThioTEPA,ACHN_KIDNEY,antagonism
Temozolomide,5-Azacitidine,OVCAR4_OVARY,antagonism
Chlorambucil,Pipobroman,HCT15_LARGE_INTESTINE,antagonism
ThioTEPA,Tretinoin,EKVX_LUNG,antagonism
Lomustine,Dacarbazine,NCIH23_LUNG,antagonism
ThioTEPA,Imiquimod,786O_KIDNEY,antagonism
Dasatinib,Pipobroman,UACC62_SKIN,antagonism
Gefitinib,Temozolomide,UO31_KIDNEY,antagonism
Altretamine,5-Azacitidine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Etoposide,Ifosfamide,CAKI1_KIDNEY,antagonism
Fluorouracil,Temozolomide,MDAMB436_BREAST,antagonism
Lomustine,Tretinoin,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Chlorambucil,Everolimus,MDAMB231_BREAST,antagonism
Dacarbazine,Hydroxyurea,IGROV1_OVARY,antagonism
Tretinoin,Pentostatin,T47D_BREAST,antagonism
Pemetrexed,Thalidomide,MDAMB231_BREAST,antagonism
Teniposide,Dacarbazine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Vemurafenib,Fluorouracil,UACC62_SKIN,antagonism
Chlorambucil,ThioTEPA,PC3_PROSTATE,antagonism
Etoposide,Pentostatin,UACC62_SKIN,antagonism
Axitinib,Vismodegib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Dexrazoxane,Chlorambucil,A549_LUNG,antagonism
Chlorambucil,Sorafenib,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Chlorambucil,PC3_PROSTATE,antagonism
Etoposide,Letrozole,HOP92_LUNG,antagonism
Crizotinib,Tretinoin,A549_LUNG,antagonism
MK-1775,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,antagonism
Dexrazoxane,Valrubicin,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Dexrazoxane,Mitotane,SKMEL5_SKIN,antagonism
Dexrazoxane,Anastrozole,SW620_LARGE_INTESTINE,antagonism
Dacarbazine,Methotrexate,CAKI1_KIDNEY,antagonism
Temozolomide,Dasatinib,MDAMB436_BREAST,antagonism
Lomustine,Letrozole,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Gefitinib,Crizotinib,HCT116_LARGE_INTESTINE,antagonism
Paclitaxel,Sorafenib,KPL1_BREAST,antagonism
Altretamine,Chlorambucil,DU145_PROSTATE,antagonism
Pemetrexed,Etoposide,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Pemetrexed,Temozolomide,MDAMB231_BREAST,antagonism
Teniposide,Fluorouracil,NCIH23_LUNG,antagonism
Gemcitabine,Ridaforolimus,SW837_LARGE_INTESTINE,antagonism
Dacarbazine,Paclitaxel,NCIH460_LUNG,antagonism
Thalidomide,Bortezomib,MCF7_BREAST,antagonism
ThioTEPA,Anastrozole,A498_KIDNEY,antagonism
Fluorouracil,Everolimus,OVCAR4_OVARY,antagonism
Mitotane,Thalidomide,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Methotrexate,Temozolomide,SW620_LARGE_INTESTINE,antagonism
Dexrazoxane,Dacarbazine,SKMEL5_SKIN,antagonism
Paclitaxel,Dasatinib,CAKI1_KIDNEY,antagonism
Fluorouracil,Chlorambucil,UACC62_SKIN,antagonism
Vemurafenib,Everolimus,NCIH226_LUNG,antagonism
Lomustine,Tioguanine,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Etoposide,Busulfan,KM12_LARGE_INTESTINE,antagonism
Crizotinib,Allopurinol,A549_LUNG,antagonism
Dexrazoxane,Ifosfamide,ACHN_KIDNEY,antagonism
Dacarbazine,Ifosfamide,IGROV1_OVARY,antagonism
Gefitinib,Crizotinib,HOP92_LUNG,antagonism
Tretinoin,Thalidomide,A549_LUNG,antagonism
Abiraterone,Chlorambucil,HCT15_LARGE_INTESTINE,antagonism
Etoposide,Fulvestrant,T47D_BREAST,antagonism
Tioguanine,Crizotinib,UACC257_SKIN,antagonism
Etoposide,Ixabepilone,T47D_BREAST,antagonism
Abiraterone,Busulfan,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Pipobroman,A549_LUNG,antagonism
Gefitinib,Pipobroman,NCIH226_LUNG,antagonism
Teniposide,Bortezomib,EKVX_LUNG,antagonism
Teniposide,ThioTEPA,LOXIMVI_SKIN,antagonism
Hydroxyurea,Fulvestrant,MCF7_BREAST,antagonism
Sorafenib,Pipobroman,UACC62_SKIN,antagonism
Dexrazoxane,Methotrexate,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Altretamine,Chlorambucil,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Vismodegib,Dacarbazine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Anastrozole,Imiquimod,HCT116_LARGE_INTESTINE,antagonism
ThioTEPA,Sorafenib,NCIH522_LUNG,antagonism
Vemurafenib,Sorafenib,NCIH226_LUNG,antagonism
Lomustine,Hydroxyurea,KM12_LARGE_INTESTINE,antagonism
Chlorambucil,Tretinoin,T47D_BREAST,antagonism
Vandetanib,Methotrexate,CAKI1_KIDNEY,antagonism
Dexrazoxane,Anastrozole,DU145_PROSTATE,antagonism
Pipobroman,Ifosfamide,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dexrazoxane,Anastrozole,MDAMB231_BREAST,antagonism
Chlorambucil,Decitabine,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Tioguanine,Valrubicin,MALME3M_SKIN,antagonism
Vismodegib,Dacarbazine,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dasatinib,Allopurinol,LOXIMVI_SKIN,antagonism
Dexrazoxane,Pentostatin,SW620_LARGE_INTESTINE,antagonism
Etoposide,Paclitaxel,EKVX_LUNG,antagonism
Dexrazoxane,ThioTEPA,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Tretinoin,5-Azacitidine,MCF7_BREAST,antagonism
Everolimus,Pipobroman,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Chlorambucil,Fulvestrant,HT29_LARGE_INTESTINE,antagonism
Pemetrexed,Paclitaxel,MCF7_BREAST,antagonism
Teniposide,Sorafenib,SKMEL28_SKIN,antagonism
Sorafenib,Allopurinol,NCIH522_LUNG,antagonism
Everolimus,Decitabine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Fluorouracil,Anastrozole,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Lenalidomide,Lomustine,SW620_LARGE_INTESTINE,antagonism
Niraparib,MK-2206,MDAMB436_BREAST,antagonism
Imatinib,5-Azacitidine,KM12_LARGE_INTESTINE,antagonism
Gefitinib,Hydroxyurea,DU145_PROSTATE,antagonism
Chlorambucil,Fulvestrant,LOXIMVI_SKIN,antagonism
Vemurafenib,Dexrazoxane,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Gefitinib,Dexrazoxane,SKMEL28_SKIN,antagonism
Teniposide,Imatinib,SKMEL5_SKIN,antagonism
Tioguanine,Pentostatin,ACHN_KIDNEY,antagonism
Lomustine,Ifosfamide,HOP92_LUNG,antagonism
ThioTEPA,Everolimus,NCIH23_LUNG,antagonism
Chlorambucil,Everolimus,NCIH2122_LUNG,antagonism
Tioguanine,Temozolomide,PC3_PROSTATE,antagonism
Lomustine,Vemurafenib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Dexrazoxane,Imiquimod,SW620_LARGE_INTESTINE,antagonism
Fluorouracil,Pentostatin,T47D_BREAST,antagonism
Fluorouracil,Letrozole,MDAMB231_BREAST,antagonism
Pipobroman,Methoxsalen,EKVX_LUNG,antagonism
Etoposide,ThioTEPA,A549_LUNG,antagonism
Abiraterone,Thalidomide,LOXIMVI_SKIN,antagonism
Dexrazoxane,Crizotinib,SW620_LARGE_INTESTINE,antagonism
Chlorambucil,Imatinib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Lomustine,Dasatinib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Methotrexate,Ixabepilone,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Vismodegib,Thalidomide,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Tretinoin,Temozolomide,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Everolimus,IGROV1_OVARY,antagonism
Lomustine,Ifosfamide,NCIH2122_LUNG,antagonism
Tioguanine,Pipobroman,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Altretamine,Paclitaxel,NCIH226_LUNG,antagonism
Vandetanib,Cabazitaxel,A498_KIDNEY,antagonism
Dexrazoxane,Sorafenib,UO31_KIDNEY,antagonism
Gemcitabine,Niraparib,T47D_BREAST,antagonism
Pemetrexed,Tretinoin,UO31_KIDNEY,antagonism
Etoposide,Methotrexate,A498_KIDNEY,antagonism
Lenalidomide,Pipobroman,PC3_PROSTATE,antagonism
Gefitinib,Tretinoin,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Lenalidomide,Lomustine,PC3_PROSTATE,antagonism
ThioTEPA,Ifosfamide,HCT116_LARGE_INTESTINE,antagonism
Vemurafenib,Lomustine,NCIH226_LUNG,antagonism
Cabazitaxel,Pemetrexed,UO31_KIDNEY,antagonism
Dacarbazine,Decitabine,IGROV1_OVARY,antagonism
Vismodegib,Altretamine,KM12_LARGE_INTESTINE,antagonism
Pelitinib,Everolimus,TC71_BONE,antagonism
Tioguanine,Busulfan,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Methoxsalen,Pentostatin,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Imatinib,5-Azacitidine,SW620_LARGE_INTESTINE,antagonism
Tioguanine,Tretinoin,T47D_BREAST,antagonism
Dexrazoxane,Allopurinol,LOXIMVI_SKIN,antagonism
Tioguanine,Everolimus,MDAMB231_BREAST,antagonism
Teniposide,Bortezomib,NCIH460_LUNG,antagonism
Everolimus,Ifosfamide,OVCAR8_OVARY,antagonism
Gefitinib,Fulvestrant,NCIH226_LUNG,antagonism
Etoposide,ThioTEPA,HOP92_LUNG,antagonism
Fulvestrant,5-Azacitidine,A498_KIDNEY,antagonism
Vismodegib,Dasatinib,786O_KIDNEY,antagonism
Vandetanib,Fluorouracil,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
5-Azacitidine,Bortezomib,SKMEL5_SKIN,antagonism
Tioguanine,Hydroxyurea,MALME3M_SKIN,antagonism
Dexrazoxane,Fulvestrant,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Lomustine,Crizotinib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Abiraterone,Teniposide,T47D_BREAST,antagonism
Temozolomide,PD-0325901,SW620_LARGE_INTESTINE,antagonism
Pemetrexed,Fulvestrant,UO31_KIDNEY,antagonism
Altretamine,Everolimus,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Dexamethasone,Bortezomib,KPL1_BREAST,antagonism
Etoposide,ThioTEPA,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
MK-1775,Topotecan,LNCAPCLONEFGC_PROSTATE,antagonism
Cabazitaxel,Pemetrexed,CAKI1_KIDNEY,antagonism
5-Azacitidine,Pipobroman,MCF7_BREAST,antagonism
Tioguanine,Paclitaxel,A498_KIDNEY,antagonism
Teniposide,Fluorouracil,UACC62_SKIN,antagonism
Paclitaxel,Ixabepilone,NCIH226_LUNG,antagonism
5-Azacitidine,Everolimus,MDAMB435S_SKIN,antagonism
Letrozole,Busulfan,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Crizotinib,Dexrazoxane,IGROV1_OVARY,antagonism
Lomustine,Chlorambucil,HOP92_LUNG,antagonism
Vismodegib,Pemetrexed,OVCAR4_OVARY,antagonism
Fluorouracil,Ridaforolimus,ZR751_BREAST,antagonism
Chlorambucil,Crizotinib,PC3_PROSTATE,antagonism
Gefitinib,Dacarbazine,A549_LUNG,antagonism
Gefitinib,Letrozole,SKMEL5_SKIN,antagonism
Fluorouracil,Niraparib,RPMI7951_SKIN,antagonism
Methotrexate,PD-0325901,RPMI7951_SKIN,antagonism
Cabazitaxel,Dacarbazine,MALME3M_SKIN,antagonism
Pemetrexed,Vemurafenib,DU145_PROSTATE,antagonism
Valrubicin,Carmustine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Crizotinib,Methotrexate,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Dexrazoxane,Tretinoin,A549_LUNG,antagonism
Dacarbazine,Tioguanine,NCIH2122_LUNG,antagonism
Pipobroman,Ixabepilone,EKVX_LUNG,antagonism
Chlorambucil,Fulvestrant,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Pipobroman,Allopurinol,PC3_PROSTATE,antagonism
Etoposide,Dacarbazine,UO31_KIDNEY,antagonism
Dacarbazine,Dasatinib,LOXIMVI_SKIN,antagonism
Paclitaxel,Methotrexate,MDAMB468_BREAST,antagonism
Lomustine,Ixabepilone,SW620_LARGE_INTESTINE,antagonism
Pemetrexed,Dexrazoxane,A549_LUNG,antagonism
Letrozole,Bortezomib,EKVX_LUNG,antagonism
Temozolomide,Pipobroman,SKMEL5_SKIN,antagonism
Etoposide,Chlorambucil,PC3_PROSTATE,antagonism
MK-2206,Ridaforolimus,LOVO_LARGE_INTESTINE,antagonism
Gefitinib,Decitabine,HOP92_LUNG,antagonism
Lomustine,Chlorambucil,HCT116_LARGE_INTESTINE,antagonism
Lenalidomide,Pemetrexed,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Pemetrexed,Paclitaxel,CAKI1_KIDNEY,antagonism
Altretamine,Ixabepilone,KM12_LARGE_INTESTINE,antagonism
Pentostatin,Bortezomib,MCF7_BREAST,antagonism
Vandetanib,Lenalidomide,CAKI1_KIDNEY,antagonism
Chlorambucil,Sorafenib,NCIH522_LUNG,antagonism
Fluorouracil,Anastrozole,KM12_LARGE_INTESTINE,antagonism
Abiraterone,Pemetrexed,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Pemetrexed,Decitabine,UO31_KIDNEY,antagonism
Erlotinib,PD-0325901,ZR751_BREAST,antagonism
Pemetrexed,Tretinoin,HOP62_LUNG,antagonism
Tretinoin,Allopurinol,ACHN_KIDNEY,antagonism
5-Azacitidine,Anastrozole,HT29_LARGE_INTESTINE,antagonism
Lomustine,Ifosfamide,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Fluorouracil,Paclitaxel,UO31_KIDNEY,antagonism
Cabazitaxel,Methotrexate,NCIH2122_LUNG,antagonism
Gefitinib,Pentostatin,HCT15_LARGE_INTESTINE,antagonism
Lomustine,Tioguanine,MALME3M_SKIN,antagonism
Axitinib,Busulfan,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Fluorouracil,Temozolomide,NCIH460_LUNG,antagonism
Chlorambucil,Ixabepilone,A498_KIDNEY,antagonism
Teniposide,Lomustine,HOP92_LUNG,antagonism
Tioguanine,Tretinoin,UACC62_SKIN,antagonism
Axitinib,Chlorambucil,SW620_LARGE_INTESTINE,antagonism
Axitinib,Chlorambucil,SKMEL5_SKIN,antagonism
Temozolomide,Pipobroman,UO31_KIDNEY,antagonism
Lomustine,Dacarbazine,LOXIMVI_SKIN,antagonism
Dacarbazine,Hydroxyurea,ACHN_KIDNEY,antagonism
5-Azacitidine,Decitabine,NCIH522_LUNG,antagonism
Valrubicin,Carmustine,MCF7_BREAST,antagonism
Dexrazoxane,Sorafenib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Everolimus,Imiquimod,HS578T_BREAST,antagonism
Lomustine,Mitotane,HS578T_BREAST,antagonism
Fluorouracil,Ixabepilone,MDAMB231_BREAST,antagonism
Abiraterone,Tioguanine,UACC257_SKIN,antagonism
Vemurafenib,Fluorouracil,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Methotrexate,PD-0325901,NCIH1650_LUNG,antagonism
Lomustine,Pentostatin,LOXIMVI_SKIN,antagonism
Vismodegib,Lomustine,CAKI1_KIDNEY,antagonism
Cabazitaxel,Methotrexate,EKVX_LUNG,antagonism
Vandetanib,Everolimus,MALME3M_SKIN,antagonism
Cabazitaxel,Ixabepilone,PC3_PROSTATE,antagonism
Etoposide,Pipobroman,786O_KIDNEY,antagonism
Methotrexate,Carmustine,UACC62_SKIN,antagonism
Teniposide,ThioTEPA,MALME3M_SKIN,antagonism
Cabazitaxel,Lomustine,NCIH226_LUNG,antagonism
Everolimus,Allopurinol,LOXIMVI_SKIN,antagonism
Lomustine,ThioTEPA,LOXIMVI_SKIN,antagonism
Tioguanine,Hydroxyurea,UACC257_SKIN,antagonism
Valrubicin,Imiquimod,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Chlorambucil,Mitotane,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Abiraterone,Busulfan,LOXIMVI_SKIN,antagonism
Dacarbazine,Methotrexate,HOP62_LUNG,antagonism
Methotrexate,Temozolomide,OVCAR8_OVARY,antagonism
Dexrazoxane,Decitabine,KM12_LARGE_INTESTINE,antagonism
