Drug1,Drug2,Cell_line,classification
Axitinib,Dacarbazine,NCIH460_LUNG,antagonism
Axitinib,Dacarbazine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Dacarbazine,UO31_KIDNEY,antagonism
Axitinib,Dasatinib,BT549_BREAST,synergy
Axitinib,Dasatinib,CAKI1_KIDNEY,synergy
Axitinib,Dasatinib,HT29_LARGE_INTESTINE,synergy
Axitinib,Dasatinib,IGROV1_OVARY,synergy
Axitinib,Dasatinib,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Dasatinib,LOXIMVI_SKIN,synergy
Axitinib,Dasatinib,MDAMB231_BREAST,synergy
Axitinib,Dasatinib,NCIH460_LUNG,synergy
Axitinib,Dasatinib,OVCAR8_OVARY,synergy
Axitinib,Dasatinib,PC3_PROSTATE,synergy
Axitinib,Decitabine,HCT116_LARGE_INTESTINE,antagonism
Axitinib,Decitabine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Decitabine,KM12_LARGE_INTESTINE,antagonism
Axitinib,Decitabine,NCIH522_LUNG,antagonism
Axitinib,Decitabine,OVCAR4_OVARY,antagonism
Axitinib,Decitabine,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Decitabine,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Decitabine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Decitabine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Dexrazoxane,A498_KIDNEY,antagonism
Axitinib,Dexrazoxane,DU145_PROSTATE,antagonism
Axitinib,Dexrazoxane,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Dexrazoxane,HT29_LARGE_INTESTINE,synergy
Axitinib,Dexrazoxane,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Dexrazoxane,KM12_LARGE_INTESTINE,antagonism
Axitinib,Dexrazoxane,MCF7_BREAST,antagonism
Axitinib,Dexrazoxane,NCIH23_LUNG,antagonism
Axitinib,Dexrazoxane,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Dexrazoxane,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Dexrazoxane,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Dexrazoxane,UACC62_SKIN,antagonism
Axitinib,Etoposide,786O_KIDNEY,synergy
Axitinib,Etoposide,DU145_PROSTATE,synergy
Axitinib,Etoposide,EKVX_LUNG,synergy
Axitinib,Etoposide,HS578T_BREAST,synergy
Axitinib,Etoposide,HT29_LARGE_INTESTINE,synergy
Axitinib,Etoposide,LOXIMVI_SKIN,synergy
Axitinib,Etoposide,MALME3M_SKIN,antagonism
Axitinib,Etoposide,MDAMB231_BREAST,synergy
Axitinib,Etoposide,MDAMB468_BREAST,synergy
Axitinib,Etoposide,NCIH226_LUNG,antagonism
Axitinib,Etoposide,NCIH460_LUNG,synergy
Axitinib,Etoposide,OVCAR8_OVARY,synergy
Axitinib,Etoposide,SKMEL5_SKIN,antagonism
Axitinib,Etoposide,SNB75_CENTRAL_NERVOUS_SYSTEM,synergy
Axitinib,Etoposide,SW620_LARGE_INTESTINE,synergy
Axitinib,Etoposide,UACC62_SKIN,antagonism
Axitinib,Everolimus,A498_KIDNEY,antagonism
Axitinib,Everolimus,CAKI1_KIDNEY,antagonism
Axitinib,Everolimus,HCT116_LARGE_INTESTINE,antagonism
Axitinib,Everolimus,HCT15_LARGE_INTESTINE,antagonism
Axitinib,Everolimus,LOXIMVI_SKIN,antagonism
Axitinib,Everolimus,MCF7_BREAST,antagonism
Axitinib,Everolimus,NCIH226_LUNG,antagonism
Axitinib,Everolimus,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Everolimus,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Everolimus,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Everolimus,T47D_BREAST,antagonism
Axitinib,Everolimus,UO31_KIDNEY,antagonism
Axitinib,Fluorouracil,A498_KIDNEY,antagonism
Axitinib,Fluorouracil,CAKI1_KIDNEY,synergy
Axitinib,Fluorouracil,EKVX_LUNG,antagonism
Axitinib,Fluorouracil,HS578T_BREAST,synergy
Axitinib,Fluorouracil,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Fluorouracil,KM12_LARGE_INTESTINE,antagonism
Axitinib,Fluorouracil,MALME3M_SKIN,synergy
Axitinib,Fluorouracil,MDAMB231_BREAST,synergy
Axitinib,Fluorouracil,NCIH23_LUNG,antagonism
Axitinib,Fluorouracil,NCIH522_LUNG,antagonism
Axitinib,Fluorouracil,OVCAR4_OVARY,antagonism
Axitinib,Fluorouracil,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Fluorouracil,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Fluorouracil,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Fluorouracil,SKMEL28_SKIN,synergy
Axitinib,Fluorouracil,SKMEL5_SKIN,antagonism
Axitinib,Fluorouracil,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Fluorouracil,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Fluorouracil,UACC62_SKIN,antagonism
Axitinib,Fulvestrant,KM12_LARGE_INTESTINE,antagonism
Axitinib,Fulvestrant,MALME3M_SKIN,synergy
Axitinib,Gefitinib,786O_KIDNEY,synergy
Axitinib,Gefitinib,ACHN_KIDNEY,antagonism
Axitinib,Gefitinib,HCT116_LARGE_INTESTINE,antagonism
Axitinib,Gefitinib,HCT15_LARGE_INTESTINE,synergy
Axitinib,Gefitinib,HS578T_BREAST,synergy
Axitinib,Gefitinib,HT29_LARGE_INTESTINE,synergy
Axitinib,Gefitinib,IGROV1_OVARY,synergy
Axitinib,Gefitinib,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Gefitinib,KM12_LARGE_INTESTINE,antagonism
Axitinib,Gefitinib,MCF7_BREAST,synergy
Axitinib,Gefitinib,MDAMB435S_SKIN,synergy
Axitinib,Gefitinib,MDAMB468_BREAST,synergy
Axitinib,Gefitinib,NCIH460_LUNG,antagonism
Axitinib,Gefitinib,SKMEL28_SKIN,synergy
Axitinib,Gefitinib,SKMEL5_SKIN,synergy
Axitinib,Gefitinib,SKOV3_OVARY,synergy
Axitinib,Gefitinib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Gefitinib,UACC257_SKIN,synergy
Axitinib,Hydroxyurea,A498_KIDNEY,antagonism
Axitinib,Hydroxyurea,ACHN_KIDNEY,antagonism
Axitinib,Hydroxyurea,CAKI1_KIDNEY,antagonism
Axitinib,Hydroxyurea,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Hydroxyurea,KM12_LARGE_INTESTINE,antagonism
Axitinib,Hydroxyurea,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Hydroxyurea,SKMEL5_SKIN,synergy
Axitinib,Hydroxyurea,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Hydroxyurea,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Ifosfamide,BT549_BREAST,synergy
Axitinib,Ifosfamide,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Ifosfamide,HS578T_BREAST,synergy
Axitinib,Ifosfamide,PC3_PROSTATE,synergy
Axitinib,Ifosfamide,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Ifosfamide,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Imatinib,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Imatinib,NCIH460_LUNG,synergy
Axitinib,Imatinib,PC3_PROSTATE,synergy
Axitinib,Imatinib,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Imiquimod,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Ixabepilone,HT29_LARGE_INTESTINE,synergy
Axitinib,Ixabepilone,KM12_LARGE_INTESTINE,antagonism
Axitinib,Ixabepilone,SW620_LARGE_INTESTINE,synergy
Axitinib,Ixabepilone,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Lenalidomide,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Lenalidomide,KM12_LARGE_INTESTINE,antagonism
Axitinib,Lenalidomide,MALME3M_SKIN,synergy
Axitinib,Lenalidomide,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Letrozole,KM12_LARGE_INTESTINE,antagonism
Axitinib,Lomustine,786O_KIDNEY,synergy
Axitinib,Lomustine,A549_LUNG,antagonism
Axitinib,Lomustine,ACHN_KIDNEY,synergy
Axitinib,Lomustine,BT549_BREAST,antagonism
Axitinib,Lomustine,CAKI1_KIDNEY,antagonism
Axitinib,Lomustine,HCT116_LARGE_INTESTINE,antagonism
Axitinib,Lomustine,HCT15_LARGE_INTESTINE,antagonism
Axitinib,Lomustine,HOP62_LUNG,synergy
Axitinib,Lomustine,HS578T_BREAST,synergy
Axitinib,Lomustine,IGROV1_OVARY,antagonism
Axitinib,Lomustine,KM12_LARGE_INTESTINE,antagonism
Axitinib,Lomustine,MCF7_BREAST,antagonism
Axitinib,Lomustine,NCIH226_LUNG,antagonism
Axitinib,Lomustine,NCIH23_LUNG,antagonism
Axitinib,Lomustine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Lomustine,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Lomustine,SKMEL28_SKIN,synergy
Axitinib,Lomustine,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Lomustine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Methotrexate,786O_KIDNEY,antagonism
Axitinib,Methotrexate,A498_KIDNEY,antagonism
Axitinib,Methotrexate,CAKI1_KIDNEY,antagonism
Axitinib,Methotrexate,HOP62_LUNG,synergy
Axitinib,Methotrexate,IGROV1_OVARY,antagonism
Axitinib,Methotrexate,OVCAR8_OVARY,synergy
Axitinib,Methotrexate,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Methotrexate,SKOV3_OVARY,antagonism
Axitinib,Methotrexate,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Methotrexate,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Methotrexate,SW620_LARGE_INTESTINE,synergy
Axitinib,Methotrexate,UO31_KIDNEY,antagonism
Axitinib,Methoxsalen,A498_KIDNEY,synergy
Axitinib,Methoxsalen,NCIH23_LUNG,synergy
Axitinib,Methoxsalen,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Axitinib,Methoxsalen,U251MG_CENTRAL_NERVOUS_SYSTEM,synergy
Axitinib,Methoxsalen,UACC257_SKIN,synergy
Axitinib,Mitotane,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Paclitaxel,786O_KIDNEY,synergy
Axitinib,Paclitaxel,A498_KIDNEY,antagonism
Axitinib,Paclitaxel,A549_LUNG,synergy
Axitinib,Paclitaxel,BT549_BREAST,synergy
Axitinib,Paclitaxel,DU145_PROSTATE,synergy
Axitinib,Paclitaxel,HCT116_LARGE_INTESTINE,synergy
Axitinib,Paclitaxel,HCT15_LARGE_INTESTINE,synergy
Axitinib,Paclitaxel,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Paclitaxel,HOP62_LUNG,synergy
Axitinib,Paclitaxel,HS578T_BREAST,synergy
Axitinib,Paclitaxel,HT29_LARGE_INTESTINE,synergy
Axitinib,Paclitaxel,LOXIMVI_SKIN,synergy
Axitinib,Paclitaxel,MALME3M_SKIN,antagonism
Axitinib,Paclitaxel,MDAMB231_BREAST,synergy
Axitinib,Paclitaxel,MDAMB435S_SKIN,synergy
Axitinib,Paclitaxel,MDAMB468_BREAST,synergy
Axitinib,Paclitaxel,NCIH2122_LUNG,synergy
Axitinib,Paclitaxel,NCIH460_LUNG,synergy
Axitinib,Paclitaxel,NCIH522_LUNG,synergy
Axitinib,Paclitaxel,OVCAR4_OVARY,synergy
Axitinib,Paclitaxel,PC3_PROSTATE,synergy
Axitinib,Paclitaxel,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Paclitaxel,SKMEL5_SKIN,synergy
Axitinib,Paclitaxel,SKOV3_OVARY,synergy
Axitinib,Paclitaxel,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Paclitaxel,T47D_BREAST,synergy
Axitinib,Paclitaxel,U251MG_CENTRAL_NERVOUS_SYSTEM,synergy
Axitinib,Paclitaxel,UACC257_SKIN,synergy
Axitinib,Paclitaxel,UACC62_SKIN,synergy
Axitinib,Pemetrexed,A498_KIDNEY,antagonism
Axitinib,Pemetrexed,ACHN_KIDNEY,antagonism
Axitinib,Pemetrexed,CAKI1_KIDNEY,antagonism
Axitinib,Pemetrexed,DU145_PROSTATE,antagonism
Axitinib,Pemetrexed,IGROV1_OVARY,antagonism
Axitinib,Pemetrexed,KM12_LARGE_INTESTINE,synergy
Axitinib,Pemetrexed,MDAMB231_BREAST,antagonism
Axitinib,Pemetrexed,MDAMB435S_SKIN,synergy
Axitinib,Pemetrexed,OVCAR4_OVARY,antagonism
Axitinib,Pemetrexed,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Pemetrexed,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Pentostatin,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Pentostatin,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Pipobroman,ACHN_KIDNEY,antagonism
Axitinib,Pipobroman,CAKI1_KIDNEY,antagonism
Axitinib,Pipobroman,HCT116_LARGE_INTESTINE,antagonism
Axitinib,Pipobroman,IGROV1_OVARY,antagonism
Axitinib,Pipobroman,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Pipobroman,KM12_LARGE_INTESTINE,antagonism
Axitinib,Pipobroman,LOXIMVI_SKIN,antagonism
Axitinib,Pipobroman,MDAMB468_BREAST,antagonism
Axitinib,Pipobroman,NCIH23_LUNG,antagonism
Axitinib,Pipobroman,NCIH460_LUNG,antagonism
Axitinib,Pipobroman,OVCAR8_OVARY,antagonism
Axitinib,Pipobroman,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Pipobroman,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Pipobroman,SW620_LARGE_INTESTINE,antagonism
Axitinib,Pipobroman,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Pipobroman,UACC62_SKIN,antagonism
Axitinib,Sorafenib,786O_KIDNEY,antagonism
Axitinib,Sorafenib,A498_KIDNEY,antagonism
Axitinib,Sorafenib,ACHN_KIDNEY,antagonism
Axitinib,Sorafenib,DU145_PROSTATE,antagonism
Axitinib,Sorafenib,HCT15_LARGE_INTESTINE,antagonism
Axitinib,Sorafenib,HOP92_LUNG,antagonism
Axitinib,Sorafenib,HS578T_BREAST,antagonism
Axitinib,Sorafenib,IGROV1_OVARY,antagonism
Axitinib,Sorafenib,LOXIMVI_SKIN,antagonism
Axitinib,Sorafenib,MALME3M_SKIN,antagonism
Axitinib,Sorafenib,MCF7_BREAST,antagonism
Axitinib,Sorafenib,MDAMB435S_SKIN,antagonism
Axitinib,Sorafenib,MDAMB468_BREAST,antagonism
Axitinib,Sorafenib,NCIH226_LUNG,antagonism
Axitinib,Sorafenib,NCIH23_LUNG,antagonism
Axitinib,Sorafenib,NCIH522_LUNG,antagonism
Axitinib,Sorafenib,OVCAR4_OVARY,antagonism
Axitinib,Sorafenib,PC3_PROSTATE,antagonism
Axitinib,Sorafenib,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Sorafenib,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Sorafenib,SKMEL5_SKIN,antagonism
Axitinib,Sorafenib,SKOV3_OVARY,antagonism
Axitinib,Sorafenib,UACC62_SKIN,antagonism
Axitinib,Temozolomide,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Temozolomide,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Temozolomide,SKMEL5_SKIN,synergy
Axitinib,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Axitinib,Temozolomide,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Teniposide,A498_KIDNEY,antagonism
Axitinib,Teniposide,A549_LUNG,antagonism
Axitinib,Teniposide,BT549_BREAST,antagonism
Axitinib,Teniposide,EKVX_LUNG,antagonism
Axitinib,Teniposide,HCT116_LARGE_INTESTINE,antagonism
Axitinib,Teniposide,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Teniposide,HOP92_LUNG,antagonism
Axitinib,Teniposide,IGROV1_OVARY,antagonism
Axitinib,Teniposide,KM12_LARGE_INTESTINE,antagonism
Axitinib,Teniposide,MALME3M_SKIN,antagonism
Axitinib,Teniposide,MCF7_BREAST,antagonism
Axitinib,Teniposide,MDAMB231_BREAST,antagonism
Axitinib,Teniposide,NCIH2122_LUNG,antagonism
Axitinib,Teniposide,NCIH522_LUNG,antagonism
Axitinib,Teniposide,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Teniposide,SKMEL28_SKIN,antagonism
Axitinib,Teniposide,SKMEL5_SKIN,antagonism
Axitinib,Teniposide,SKOV3_OVARY,antagonism
Axitinib,Teniposide,SNB75_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Teniposide,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Teniposide,T47D_BREAST,antagonism
Axitinib,Teniposide,UACC62_SKIN,antagonism
Axitinib,Thalidomide,KM12_LARGE_INTESTINE,synergy
Axitinib,Thalidomide,NCIH23_LUNG,synergy
Axitinib,Thalidomide,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Axitinib,ThioTEPA,A549_LUNG,antagonism
Axitinib,ThioTEPA,ACHN_KIDNEY,antagonism
Axitinib,ThioTEPA,DU145_PROSTATE,antagonism
Axitinib,ThioTEPA,HCT116_LARGE_INTESTINE,antagonism
Axitinib,ThioTEPA,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,ThioTEPA,KM12_LARGE_INTESTINE,antagonism
Axitinib,ThioTEPA,LOXIMVI_SKIN,antagonism
Axitinib,ThioTEPA,MDAMB468_BREAST,antagonism
Axitinib,ThioTEPA,NCIH23_LUNG,antagonism
Axitinib,ThioTEPA,NCIH460_LUNG,antagonism
Axitinib,ThioTEPA,NCIH522_LUNG,antagonism
Axitinib,ThioTEPA,OVCAR8_OVARY,antagonism
Axitinib,ThioTEPA,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,ThioTEPA,SF295_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,ThioTEPA,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,ThioTEPA,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,ThioTEPA,UACC62_SKIN,antagonism
Axitinib,Tioguanine,BT549_BREAST,antagonism
Axitinib,Tioguanine,EKVX_LUNG,antagonism
Axitinib,Tioguanine,HCT15_LARGE_INTESTINE,synergy
Axitinib,Tioguanine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Tioguanine,MDAMB435S_SKIN,antagonism
Axitinib,Tioguanine,MDAMB468_BREAST,synergy
Axitinib,Tioguanine,OVCAR4_OVARY,antagonism
Axitinib,Tioguanine,T47D_BREAST,antagonism
Axitinib,Tioguanine,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Tioguanine,UACC257_SKIN,antagonism
Axitinib,Tretinoin,BT549_BREAST,synergy
Axitinib,Tretinoin,CAKI1_KIDNEY,antagonism
Axitinib,Tretinoin,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Tretinoin,KM12_LARGE_INTESTINE,antagonism
Axitinib,Tretinoin,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Tretinoin,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Valrubicin,KM12_LARGE_INTESTINE,antagonism
Axitinib,Valrubicin,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Valrubicin,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Valrubicin,SKMEL28_SKIN,synergy
Axitinib,Valrubicin,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Valrubicin,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Vandetanib,A498_KIDNEY,antagonism
Axitinib,Vandetanib,ACHN_KIDNEY,antagonism
Axitinib,Vandetanib,NCIH522_LUNG,antagonism
Axitinib,Vandetanib,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Vandetanib,SF539_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Vandetanib,SKMEL5_SKIN,synergy
Axitinib,Vandetanib,SKOV3_OVARY,antagonism
Axitinib,Vandetanib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Vandetanib,UO31_KIDNEY,antagonism
Axitinib,Vemurafenib,ACHN_KIDNEY,antagonism
Axitinib,Vemurafenib,DU145_PROSTATE,synergy
Axitinib,Vemurafenib,HOP62_LUNG,synergy
Axitinib,Vemurafenib,HS578T_BREAST,synergy
Axitinib,Vemurafenib,LOXIMVI_SKIN,synergy
Axitinib,Vemurafenib,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Vemurafenib,SW620_LARGE_INTESTINE,synergy
Axitinib,Vemurafenib,T47D_BREAST,synergy
Axitinib,Vemurafenib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Axitinib,Vismodegib,KM12_LARGE_INTESTINE,antagonism
Axitinib,Vismodegib,LOXIMVI_SKIN,antagonism
Axitinib,Vismodegib,MDAMB435S_SKIN,synergy
Axitinib,Vismodegib,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Axitinib,Vismodegib,SKMEL28_SKIN,synergy
Axitinib,Vismodegib,SKMEL5_SKIN,synergy
Axitinib,Vismodegib,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,antagonism
Axitinib,Vismodegib,U251MG_CENTRAL_NERVOUS_SYSTEM,antagonism
Azelnidipine,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Azithromycin,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
BEZ-235,Cobimetinib,RD_SOFT_TISSUE,synergy
BEZ-235,Sorafenib,A2058_SKIN,synergy
BEZ-235,Sorafenib,A375_SKIN,synergy
BEZ-235,Sorafenib,A427_LUNG,synergy
BEZ-235,Sorafenib,CAOV3_OVARY,synergy
BEZ-235,Sorafenib,COLO320_LARGE_INTESTINE,synergy
BEZ-235,Sorafenib,ES2_OVARY,synergy
BEZ-235,Sorafenib,HCT116_LARGE_INTESTINE,synergy
BEZ-235,Sorafenib,HT144_SKIN,synergy
BEZ-235,Sorafenib,HT29_LARGE_INTESTINE,synergy
BEZ-235,Sorafenib,NCIH460_LUNG,synergy
BEZ-235,Sorafenib,NCIH520_LUNG,synergy
BEZ-235,Sorafenib,OV90_OVARY,synergy
BEZ-235,Sorafenib,RKO_LARGE_INTESTINE,synergy
BEZ-235,Sorafenib,SKMEL30_SKIN,synergy
BEZ-235,Sorafenib,SKMES1_LUNG,synergy
BEZ-235,Sorafenib,SKOV3_OVARY,synergy
BEZ-235,Sorafenib,SW620_LARGE_INTESTINE,synergy
BEZ-235,Sorafenib,T47D_BREAST,synergy
BEZ-235,Sorafenib,UACC62_SKIN,synergy
BEZ-235,Sorafenib,VCAP_PROSTATE,synergy
BEZ-235,Trametinib,RD_SOFT_TISSUE,synergy
BI-2536,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
BKM-120,Cobimetinib,RD_SOFT_TISSUE,synergy
BKM-120,Trametinib,RD_SOFT_TISSUE,synergy
BMS-754807,MK-2206,RD_SOFT_TISSUE,synergy
BMS-754807,Trametinib,RD_SOFT_TISSUE,synergy
BMS-777607,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
BMS-794833,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
BMS-833923,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Belinostat,BMS-754807,RD_SOFT_TISSUE,synergy
Belinostat,Belinostat,RD_SOFT_TISSUE,synergy
Belinostat,Ceritinib,RD_SOFT_TISSUE,synergy
Belinostat,MK-2206,RD_SOFT_TISSUE,synergy
Belinostat,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Berzosertib,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Betaxolol,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Bexarotene,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Bicalutamide,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Birinapant,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Bortezomib,BEZ-235,A2058_SKIN,synergy
Bortezomib,BEZ-235,A2780_OVARY,synergy
Bortezomib,BEZ-235,A375_SKIN,synergy
Bortezomib,BEZ-235,CAOV3_OVARY,synergy
Bortezomib,BEZ-235,COLO320_LARGE_INTESTINE,synergy
Bortezomib,BEZ-235,ES2_OVARY,synergy
Bortezomib,BEZ-235,HT29_LARGE_INTESTINE,synergy
Bortezomib,BEZ-235,LNCAPCLONEFGC_PROSTATE,synergy
Bortezomib,BEZ-235,NCIH23_LUNG,synergy
Bortezomib,BEZ-235,NCIH460_LUNG,synergy
Bortezomib,BEZ-235,NCIH520_LUNG,synergy
Bortezomib,BEZ-235,RKO_LARGE_INTESTINE,synergy
Bortezomib,BEZ-235,SF268_CENTRAL_NERVOUS_SYSTEM,synergy
Bortezomib,BEZ-235,SKMEL30_SKIN,synergy
Bortezomib,BEZ-235,SKMES1_LUNG,synergy
Bortezomib,BEZ-235,SW620_LARGE_INTESTINE,synergy
Bortezomib,BEZ-235,SW837_LARGE_INTESTINE,synergy
Bortezomib,BEZ-235,T47D_BREAST,synergy
Bortezomib,BEZ-235,UACC62_SKIN,synergy
Bortezomib,BEZ-235,VCAP_PROSTATE,synergy
Bortezomib,BEZ-235,ZR751_BREAST,synergy
Bortezomib,CUDC-907,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
